station_name,ridership_2013,ridership_2014,ridership_2015,ridership_2016,average
Canarsie - Rockaway Pkwy,13254,13512,13481,13131,12579.666666666666
Wilson Av,3865,4248,4437,3812,4281.333333333333
Morgan Av,7126,7298,7221,7592,7623.666666666667
1 Av,23467,24286,23789,23195,22005.333333333332
Grand St,7444,7824,7307,6977,7086.0
Atlantic Av,1580,1725,1384,1455,1706.0
Sutter Av,4555,4675,4727,4688,4396.0
DeKalb Av,11617,11943,12158,12307,12665.0
Bedford Av,25755,27224,27132,27486,27290.666666666668
Halsey St,7308,7720,7932,8426,8531.0
Graham Av,10136,10643,10504,10483,10326.0
Livonia Av,2959,3078,3269,3418,3297.0
Bushwick Av - Aberdeen St,1509,1683,1874,2105,2098.6666666666665
Alabama Av,2443,2448,2520,2585,2385.3333333333335
3 Av,6803,7193,7140,7179,6954.0
Montrose Av,6731,6961,7025,7007,6970.666666666667
Central Av,1744,3282,3715,3884,2735.3333333333335
Forest Av,4103,4210,4386,4429,3457.3333333333335
Middle Village - Metropolitan Av,4092,4318,4489,4530,3606.3333333333335
Seneca Av,2428,2545,2726,2832,2075.3333333333335
Fresh Pond Rd,5333,5677,6002,6130,5023.0
Knickerbocker Av,3429,3806,4104,4228,2917.0
18 Av,5092,5491,5502,2266,2823.3333333333335
Fort Hamilton Pkwy,7034,7244,6964,1771,2733.0
Kings Hwy,5154,5344,5482,1489,2569.3333333333335
8 Av,10873,11341,11430,14201,12729.666666666666
Bay Pkwy,6990,7301,7164,10955,9181.3333333333339
86 St,2515,2622,2718,1298,1586.6666666666667
Avenue U,3738,3857,3894,1399,2103.6666666666665
20 Av,4190,4277,4223,1348,2333.6666666666665
Avenue U,6821,6922,6975,7384,7366.0
86 St,,,,,
96 St,,,,,
72 St,,,,,
Avenue J,6036,6060,6009,6136,6116.0
Avenue H,2861,2961,2994,3183,3310.0
Avenue M,5836,5903,5869,6052,6049.0
Ocean Pkwy,3141,3124,3203,3211,3220.3333333333335
Cortelyou Rd,5318,5727,6220,6332,6318.666666666667
Beverley Rd,2340,2690,2894,3059,3225.3333333333335
53 St,7479,7512,7458,7386,6246.333333333333
45 St,6978,7208,7265,7055,7379.0
Bay Ridge - 95 St,5974,6051,6101,6090,5957.0
25 St,3821,3959,3847,3788,4030.0
86 St,11648,11920,11963,12078,11719.333333333334
Bay Ridge Av,8079,8283,8379,8415,6608.0
77 St,5353,5548,5608,5720,6026.0
Prospect Av,5934,5943,5896,5842,4854.666666666667
Union St,6528,6415,6599,6512,6580.666666666667
116 St,11508,11787,12196,12090,11450.0
125 St,15351,15744,15986,15719,15385.666666666666
135 St,14690,15335,15598,15446,14937.333333333334
Bergen St,4070,3923,3823,3884,3796.6666666666665
Wall St,26706,28075,27242,27291,25760.333333333332
Grand Army Plaza,8066,7971,7731,7735,7458.333333333333
Central Park North (110 St),9130,9559,9865,9855,9301.0
Clark St,5971,6083,5922,5903,5604.333333333333
Eastern Pkwy - Brooklyn Museum,4938,4889,4915,4719,4649.333333333333
